Id transacción,Comercio Id,Mes Operacion,Estado,Moneda,# Transacciones,Monto Transaccion,Monto Contracargo (Venta)
1151,16,1/8/2021,COMPLETED,MXN,"134,891","33,279,873.35","2,590"
1152,16,1/8/2021,FAILED,MXN,"48,915","15,743,501.30",0
1153,16,1/8/2021,CANCELLED,MXN,"6,684","1,608,402.75",0
1154,16,1/8/2021,IN_PROGRESS,MXN,14,"3,942.60",0
1155,16,1/8/2021,ERROR,MXN,9,"2,483.60",0
1156,17,1/7/2021,COMPLETED,MXN,"164,886","3,946,923.77","3,565"
1157,17,1/7/2021,FAILED,MXN,"21,049","737,632.59",0
1158,17,1/7/2021,ERROR,MXN,159,"3,999.50",0
1159,17,1/7/2021,CANCELLED,MXN,7,"2,500",0
1160,17,1/7/2021,IN_PROGRESS,MXN,3,900,0
1161,17,1/8/2021,COMPLETED,MXN,"163,135","3,912,816.30","6,172"
1162,17,1/8/2021,FAILED,MXN,"20,581","841,318",0
1163,17,1/8/2021,ERROR,MXN,28,"2,151.50","38,500"
1164,17,1/8/2021,CANCELLED,MXN,2,600,0
1165,18,1/7/2021,COMPLETED,MXN,"144,121","14,053,844","21,840"
1166,18,1/7/2021,FAILED,MXN,"26,706","2,516,740",0
1167,18,1/7/2021,ERROR,MXN,114,"10,389",0
1168,18,1/8/2021,COMPLETED,MXN,"151,768","14,134,112","29,326"
1169,18,1/8/2021,FAILED,MXN,"28,458","2,679,845",0
1170,18,1/8/2021,ERROR,MXN,28,"2,482",0
1171,19,1/7/2021,COMPLETED,MXN,"78,811","76,719,506.61",0
1172,19,1/7/2021,FAILED,MXN,"30,574","36,379,070.18",0
1173,19,1/7/2021,EXPIRED,MXN,"11,056","9,200,971.43",0
1174,19,1/7/2021,CANCELLED,MXN,"4,787","6,793,417.15",0
1175,19,1/7/2021,ERROR,MXN,977,"749,207.01",0
1176,19,1/7/2021,IN_PROGRESS,MXN,576,"762,174.48",0
1177,19,1/8/2021,COMPLETED,MXN,"87,948","82,562,770.21",0
