tx_agg_id,merchant_id,op_month_date,status,cc,tx_cnt,tx_amt,cb_amt,total_terminal_tx_amt,completed_tx_cnt_per,all_statuses_flag
1696,85,2021-08-01,IN_PROGRESS,MXN,330,99762.78,0.0,0.0,0.36662629868060426,0
1697,86,2021-07-01,FAILED,MXN,12253,6982366.6,0.0,9063826205.330002,0.27416231441816796,0
1698,86,2021-07-01,COMPLETED,MXN,4672,1402019.45,5622.06,12919153058.399994,0.27416231441816796,0
1699,86,2021-07-01,CANCELLED,MXN,116,202651.46,0.0,0.0,0.27416231441816796,0
1701,86,2021-08-01,FAILED,MXN,9913,6998213.01,0.0,9063826205.330002,0.2394194969987083,0
1702,86,2021-08-01,COMPLETED,MXN,3151,1253021.79,1451.88,12919153058.399994,0.2394194969987083,0
1703,86,2021-08-01,CANCELLED,MXN,97,149371.17,0.0,0.0,0.2394194969987083,0
1704,87,2021-07-01,IN_PROGRESS,MXN,12263,14840736.19,0.0,0.0,0.10778614998205956,0
1705,87,2021-07-01,COMPLETED,MXN,1502,2246647.5,0.0,12919153058.399994,0.10778614998205956,0
1706,87,2021-07-01,FAILED,MXN,170,255288.8,0.0,9063826205.330002,0.10778614998205956,0
1707,87,2021-08-01,IN_PROGRESS,MXN,12825,18695875.71,0.0,0.0,0.09493979258021856,0
1708,87,2021-08-01,COMPLETED,MXN,1364,1980545.63,0.0,12919153058.399994,0.09493979258021856,0
1709,87,2021-08-01,FAILED,MXN,178,299075.05,0.0,9063826205.330002,0.09493979258021856,0
1710,88,2021-07-01,COMPLETED,MXN,11035,1516234.05,0.0,12919153058.399994,0.6320884408294192,0
1711,88,2021-07-01,FAILED,MXN,5791,2955265.94,0.0,9063826205.330002,0.6320884408294192,0
1712,88,2021-07-01,CANCELLED,MXN,608,486881.4,0.0,0.0,0.6320884408294192,0
1713,88,2021-07-01,ERROR,MXN,24,2563.29,0.0,0.0,0.6320884408294192,0
